ts_s,temp_C_raw,temp_C_filt,moist_pct_raw,moist_pct_filt,press_kPa_raw,press_kPa_filt,vib_raw,vib_filt,fsm_state,heater_en,fan_pwm,valve,alarms_mask,fifo_occ
16.1,45.42578125,45.61328125,31.27734375,26.125,108.95703125,111.01953125,3.76953125,3.99609375,2,1,200,1,0x0000,45
16.2,45.4609375,45.61328125,21.2421875,26.12890625,113.1328125,111.02734375,4.19921875,3.9921875,2,1,200,1,0x0000,45
16.3,45.6640625,45.625,21.34375,26.15625,113.22265625,111.07421875,4.234375,3.98828125,2,1,200,1,0x0000,46
16.4,45.69140625,45.62109375,21.078125,26.15625,113.01171875,111.0625,4.28515625,3.9921875,2,1,200,1,0x0000,47
16.5,45.65625,45.62109375,21.02734375,26.1875,112.81640625,111.02734375,4.20703125,3.984375,2,1,200,1,0x0000,47
16.6,45.609375,45.6171875,20.71484375,24.91015625,113.16015625,111.5390625,4.2734375,4.046875,2,1,200,0,0x0000,48
16.7,45.7109375,45.625,31.5546875,24.984375,109.09375,111.55859375,3.734375,4.046875,2,1,200,0,0x0000,48
16.8,45.80078125,45.625,31.45703125,24.9609375,108.94921875,111.54296875,3.83984375,4.06640625,2,1,200,0,0x0000,49
16.9,45.625,45.65234375,30.84765625,24.90625,109.06640625,111.5546875,3.73828125,4.0625,2,1,200,0,0x0000,49
17.0,45.73046875,45.68359375,31.29296875,26.1640625,109.078125,111.046875,3.703125,4.0,2,1,200,1,0x0000,50
17.1,45.42578125,45.65625,21.140625,26.13671875,113.0546875,111.02734375,4.19140625,3.99609375,2,1,200,1,0x0000,50
17.2,45.7578125,45.6640625,20.80859375,26.10546875,112.96484375,111.01953125,4.28515625,3.99609375,2,1,200,1,0x0000,51
17.3,45.80859375,45.68359375,21.359375,26.14453125,113.28125,111.078125,4.26171875,4.0,2,1,200,1,0x0000,51
17.4,45.6953125,45.69140625,21.12890625,26.1953125,112.984375,111.05859375,4.22265625,3.99609375,2,1,200,1,0x0000,52
17.5,45.6875,45.69140625,21.609375,24.953125,113.09375,111.55859375,4.26953125,4.0625,2,1,200,0,0x0000,52
17.6,45.80078125,45.69140625,30.6328125,24.8515625,109.0546875,111.5703125,3.75,4.05078125,2,1,200,0,0x0000,53
17.7,45.67578125,45.6953125,31.22265625,24.8984375,108.96484375,111.55859375,3.77734375,4.0546875,2,1,200,0,0x0000,53
17.8,45.55078125,45.671875,31.97265625,24.984375,109.1328125,111.56640625,3.80859375,4.0703125,2,1,200,0,0x0000,54
17.9,45.734375,45.7109375,31.56640625,26.28515625,109.0234375,111.0625,3.69921875,4.0078125,2,1,200,1,0x0000,54
18.0,45.6171875,45.6953125,21.54296875,26.37890625,112.98828125,111.0625,4.21875,4.0,2,1,200,1,0x0000,55
18.1,45.640625,45.671875,21.109375,26.34765625,113.22265625,111.0546875,4.31640625,4.0078125,2,1,200,1,0x0000,55
18.2,45.73828125,45.6796875,21.59375,26.40625,113.0,111.05859375,4.2890625,4.015625,2,1,200,1,0x0000,56
18.3,45.7421875,45.6875,21.34375,26.37109375,113.09375,111.05859375,4.23046875,4.0078125,2,1,200,1,0x0000,56
18.4,45.4140625,45.63671875,21.125,25.18359375,113.04296875,111.55859375,4.28125,4.07421875,2,1,200,1,0x0000,57
18.5,45.66796875,45.63671875,21.34765625,23.94921875,112.98828125,112.05859375,4.25,4.13671875,2,1,200,0,0x0000,58
18.6,45.6875,45.65234375,31.74609375,23.921875,108.8671875,112.02734375,3.78515625,4.1328125,2,1,200,0,0x0000,58
18.7,45.6640625,45.64453125,30.9453125,23.84375,108.94140625,112.015625,3.765625,4.140625,2,1,200,0,0x0000,59
18.8,45.4609375,45.625,31.26171875,25.05859375,108.90625,111.5078125,3.80859375,4.08984375,2,1,200,1,0x0000,59
18.9,45.58203125,45.6171875,20.67578125,25.00390625,113.00390625,111.48046875,4.2734375,4.08203125,2,1,200,1,0x0000,60
19.0,45.83984375,45.62890625,21.2734375,24.96484375,112.93359375,111.46875,4.34375,4.08984375,2,1,200,0,0x0000,60
19.1,45.765625,45.6328125,30.81640625,26.1484375,108.9609375,110.953125,3.74609375,4.03125,2,1,200,1,0x0000,61
19.2,45.6796875,45.66796875,21.3359375,26.171875,113.03515625,110.953125,4.23828125,4.0234375,2,1,200,1,0x0000,61
19.3,45.37109375,45.62890625,20.9765625,26.12890625,112.89453125,110.94140625,4.28515625,4.02734375,2,1,200,1,0x0000,62
19.4,45.8125,45.64453125,21.44140625,24.83984375,112.86328125,111.44140625,4.21484375,4.08203125,2,1,200,0,0x0000,62
19.5,45.71875,45.65234375,31.1875,24.87109375,108.9375,111.44140625,3.73828125,4.078125,2,1,200,0,0x0000,63
19.6,45.828125,45.69921875,31.3046875,24.875,108.984375,111.44921875,3.75390625,4.07421875,2,1,200,0,0x0000,63
19.7,45.546875,45.6953125,31.45703125,26.22265625,109.046875,110.95703125,3.7265625,4.00390625,2,1,200,1,0x0000,64
19.8,45.5546875,45.65625,20.92578125,26.1796875,112.92578125,110.953125,4.24609375,3.9921875,2,1,200,1,0x0000,64
19.9,45.7578125,45.65625,21.04296875,24.95703125,113.0234375,111.4609375,4.26953125,4.05859375,2,1,200,0,0x0000,65
20.0,45.671875,45.65625,31.01953125,26.16796875,108.97265625,110.953125,3.71875,3.9921875,2,1,200,1,0x0000,65
20.1,45.71875,45.69921875,21.28125,26.20703125,112.91015625,110.95703125,4.26953125,3.9921875,2,1,200,1,0x0000,65
20.2,45.67578125,45.68359375,21.16015625,26.171875,112.99609375,110.97265625,4.24609375,3.99609375,2,1,200,1,0x0000,65
20.3,45.65625,45.67578125,21.171875,24.91796875,113.08203125,111.4921875,4.3203125,4.06640625,2,1,200,0,0x0000,65
20.4,45.55859375,45.640625,31.62890625,24.9609375,108.96484375,111.48828125,3.80859375,4.07421875,2,1,200,0,0x0000,65
20.5,45.92578125,45.6875,31.08203125,24.9140625,108.94921875,111.4765625,3.75,4.078125,2,1,200,0,0x0000,65
20.6,45.70703125,45.70703125,30.80859375,26.1484375,109.0234375,110.98828125,3.6953125,4.0078125,2,1,200,1,0x0000,65
20.7,45.59375,45.6875,21.4609375,26.19921875,113.08203125,110.99609375,4.23828125,4.00390625,2,1,200,1,0x0000,65
20.8,45.6796875,45.6875,21.05078125,24.953125,113.04296875,111.50390625,4.25390625,4.0703125,2,1,200,0,0x0000,65
20.9,45.734375,45.69140625,31.2890625,26.203125,108.98828125,111.015625,3.734375,4.00390625,2,1,200,1,0x0000,66
