frame_seq,ts_ms,tick,proto_id,payload_len,header_hex,crc16_hex,frame_len
286,40600,406,0,32,11032000,E677,40
287,40700,407,0,32,11032000,B440,40
288,40800,408,0,32,11032000,DD76,40
289,40900,409,0,32,11032000,C57C,40
290,41000,410,0,32,11032000,AD9D,40
291,41100,411,0,32,11032000,AF88,40
292,41200,412,0,32,11032000,A030,40
293,41300,413,0,32,11032000,0B90,40
294,41400,414,0,32,11032000,2717,40
295,41500,415,0,32,11032000,C8CC,40
296,41600,416,0,32,11032000,B9E4,40
297,41700,417,0,32,11032000,F57E,40
298,41800,418,0,32,11032000,3E5B,40
299,41900,419,0,32,11032000,D678,40
300,42000,420,0,32,11032000,291B,40
301,42100,421,0,32,11032000,235E,40
302,42200,422,0,32,11032000,34AB,40
303,42300,423,0,32,11032000,825F,40
304,42400,424,0,32,11032000,BD67,40
305,42500,425,0,32,11032000,04C6,40
306,42600,426,0,32,11032000,776E,40
307,42700,427,0,32,11032000,FBD5,40
308,42800,428,0,32,11032000,1CB6,40
309,42900,429,0,32,11032000,CEBB,40
310,43000,430,0,32,11032000,A33C,40
311,43100,431,0,32,11032000,C1B6,40
312,43200,432,0,32,11032000,7B35,40
313,43300,433,0,32,11032000,0563,40
314,43400,434,0,32,11032000,D2F7,40
315,43500,435,0,32,11032000,C22C,40
316,43600,436,0,32,11032000,F188,40
317,43700,437,0,32,11032000,53EF,40
318,43800,438,0,32,11032000,3393,40
319,43900,439,0,32,11032000,BBA3,40
320,44000,440,0,32,11032000,6236,40
321,44100,441,0,32,11032000,AD3B,40
322,44200,442,0,32,11032000,F288,40
323,44300,443,0,32,11032000,7217,40
324,44400,444,0,32,11032000,DA94,40
325,44500,445,0,32,11032000,1675,40
326,44600,446,0,32,11032000,608D,40
327,44800,448,0,32,11032000,9C8D,40
328,44900,449,0,32,11032000,9593,40
329,45000,450,1,32,4c20012000,605F,41
330,45400,454,1,32,4c20012000,3077,41
331,45700,457,1,32,4c20012000,FB51,41
332,45900,459,1,32,4c20012000,304F,41
333,46100,461,1,32,4c20012000,08BA,41
334,46300,463,1,32,4c20012000,2223,41
335,46500,465,1,32,4c20012000,5E28,41
336,46700,467,1,32,4c20012000,B5CD,41
337,46900,469,1,32,4c20012000,6466,41
338,47100,471,1,32,4c20012000,AAD5,41
339,47300,473,1,32,4c20012000,FCFC,41
340,47500,475,1,32,4c20012000,FE83,41
341,47700,477,1,32,4c20012000,1215,41
342,47900,479,1,32,4c20012000,A81E,41
343,48100,481,1,32,4c20012000,B5D4,41
344,48300,483,1,32,4c20012000,0122,41
345,48500,485,1,32,4c20012000,FB3F,41
346,48700,487,1,32,4c20012000,08D9,41
347,48900,489,1,32,4c20012000,2707,41
348,49100,491,1,32,4c20012000,566D,41
349,49300,493,1,32,4c20012000,9EE0,41
350,49600,496,1,32,4c20012000,8B5C,41
351,49800,498,1,32,4c20012000,D122,41
352,50000,500,0,32,11032000,15A0,40
353,50100,501,0,32,11032000,B291,40
354,50200,502,0,32,11032000,3C08,40
355,50300,503,0,32,11032000,AA93,40
356,50400,504,0,32,11032000,7F7B,40
357,50500,505,0,32,11032000,29D4,40
358,50600,506,0,32,11032000,C5AE,40
359,50700,507,0,32,11032000,FEE9,40
360,50800,508,0,32,11032000,C60E,40
361,50900,509,0,32,11032000,81FB,40
362,51000,510,0,32,11032000,E433,40
363,51100,511,0,32,11032000,A81A,40
364,51200,512,0,32,11032000,CE72,40
365,51300,513,0,32,11032000,9376,40
366,51400,514,0,32,11032000,A1D5,40
367,51500,515,0,32,11032000,1A29,40
368,51600,516,0,32,11032000,4D87,40
369,51700,517,0,32,11032000,2543,40
370,51800,518,0,32,11032000,D27D,40
371,51900,519,0,32,11032000,B258,40
372,52100,521,0,32,11032000,F0A4,40
373,52200,522,0,32,11032000,F18F,40
374,52300,523,0,32,11032000,2DEB,40
375,52400,524,0,32,11032000,3834,40
376,52500,525,0,32,11032000,EA4C,40
377,52600,526,0,32,11032000,4C3F,40
378,52700,527,0,32,11032000,74D2,40
379,52800,528,0,32,11032000,BF1D,40
380,52900,529,0,32,11032000,CAE0,40
381,53000,530,0,32,11032000,0E29,40
382,53100,531,0,32,11032000,C491,40
383,53200,532,0,32,11032000,EC58,40
384,53300,533,0,32,11032000,3ADA,40
385,53400,534,0,32,11032000,AC15,40
386,53500,535,0,32,11032000,3438,40
387,53600,536,0,32,11032000,85AF,40
388,53700,537,0,32,11032000,8CEE,40
389,53800,538,0,32,11032000,8300,40
390,53900,539,0,32,11032000,591A,40
391,54000,540,0,32,11032000,79D2,40
392,54100,541,0,32,11032000,1073,40
393,54200,542,0,32,11032000,40D8,40
394,54400,544,0,32,11032000,953C,40
395,54500,545,0,32,11032000,62B6,40
396,54600,546,0,32,11032000,1973,40
397,54800,548,0,32,11032000,00D8,40
398,54900,549,0,32,11032000,2078,40
399,55000,550,1,32,4c20012000,D777,41
400,55200,552,1,32,4c20012000,4BB7,41
401,55400,554,1,32,4c20012000,76DF,41
402,55700,557,1,32,4c20012000,2081,41
403,55900,559,1,32,4c20012000,4A02,41
404,56100,561,1,32,4c20012000,8E6C,41
405,56300,563,1,32,4c20012000,E992,41
406,56500,565,1,32,4c20012000,25DF,41
407,56700,567,1,32,4c20012000,C9D3,41
408,56900,569,1,32,4c20012000,74D7,41
409,57100,571,1,32,4c20012000,DBF0,41
410,57400,574,1,32,4c20012000,A954,41
411,57600,576,1,32,4c20012000,A98D,41
412,57800,578,1,32,4c20012000,A54F,41
413,58000,580,1,32,4c20012000,8C67,41
414,58200,582,1,32,4c20012000,D9DC,41
415,58400,584,1,32,4c20012000,DCF6,41
416,58600,586,1,32,4c20012000,D6D2,41
417,58900,589,1,32,4c20012000,67F6,41
418,59100,591,1,32,4c20012000,6755,41
419,59300,593,1,32,4c20012000,4264,41
420,59600,596,1,32,4c20012000,89D1,41
421,59900,599,1,32,4c20012000,A2C6,41
422,60100,601,0,32,11032000,9374,40
423,60200,602,0,32,11032000,BE96,40
424,60300,603,0,32,11032000,2EEC,40
425,60400,604,0,32,11032000,D96F,40
426,60500,605,0,32,11032000,E53E,40
427,60600,606,0,32,11032000,99E2,40
428,60700,607,0,32,11032000,D81D,40
429,60900,609,0,32,11032000,9246,40
430,61000,610,0,32,11032000,2CEA,40
431,61200,612,0,32,11032000,B738,40
432,61300,613,0,32,11032000,D494,40
433,61400,614,0,32,11032000,F2C0,40
434,61500,615,0,32,11032000,06E0,40
435,61700,617,0,32,11032000,99AF,40
436,61800,618,0,32,11032000,84BB,40
437,61900,619,0,32,11032000,D9B3,40
438,62000,620,0,32,11032000,76D6,40
439,62100,621,0,32,11032000,115E,40
440,62200,622,0,32,11032000,DE3B,40
441,62300,623,0,32,11032000,EC97,40
442,62400,624,0,32,11032000,152F,40
443,62500,625,0,32,11032000,89CD,40
444,62600,626,0,32,11032000,DA6C,40
445,62800,628,0,32,11032000,781A,40
446,62900,629,0,32,11032000,F470,40
447,63000,630,0,32,11032000,6066,40
448,63100,631,0,32,11032000,91AA,40
449,63300,633,0,32,11032000,E3DF,40
450,63400,634,0,32,11032000,6055,40
451,63500,635,0,32,11032000,0C59,40
452,63600,636,0,32,11032000,B6D2,40
453,63700,637,0,32,11032000,94BA,40
454,63900,639,0,32,11032000,52D5,40
455,64000,640,0,32,11032000,EDD3,40
456,64100,641,0,32,11032000,AF5F,40
457,64400,644,0,32,11032000,0D81,40
458,64500,645,0,32,11032000,4FA3,40
459,64600,646,0,32,11032000,11AB,40
460,64700,647,0,32,11032000,AA93,40
461,64800,648,0,32,11032000,0998,40
462,64900,649,0,32,11032000,0E68,40
463,65000,650,1,32,4c20012000,2B1E,41
464,65200,652,1,32,4c20012000,A54E,41
465,65400,654,1,32,4c20012000,9342,41
466,65600,656,1,32,4c20012000,5624,41
467,65800,658,1,32,4c20012000,7829,41
468,66000,660,1,32,4c20012000,3608,41
469,66200,662,1,32,4c20012000,46BD,41
470,66400,664,1,32,4c20012000,3A4A,41
